Nickname,1º Lugar,2º Lugar,3º Lugar,4º Lugar,5º Lugar,6º Lugar,7º Lugar,8º Lugar,9º Lugar,10º Lugar,Anime ruim,Anime péssimo,Preferencias
Florzinha,Demon Slayer,Jujutsu Kaisen,Boku no hero ,Attack on titan ,Death note,Baki ,Tokyo revenge,Tenkku shipan ,Kakegurui ,Horimiya,,,"Lutas, reviravolta, romance, terror. "
Lutty,One Piece,Haikyuu!!,Hunter x Hunter,Danshi koukousei no nichijou,Attack on Titan,Kimetsu no Yaiba,Zatch Bell,Danganrompa,Junji Ito: Histórias Macabras do Japão,One Punch Man,Another,High School of the Dead,"Gosto muito de plot twist, aqueles que são desvendados depois de muito tempo, mistério, personagens bem ricos em personalidade e passado envolvente. Adoro comédias mas também gosto de animes de terror, aventura e romance. Não gosto de anime com insinuação a pedofilia ou com muito machismo. Prefiro me manter longe de animes de categoria ecchi. Meus animes favoritos costumam ser de categoria: Shounen, Shoujo, Seinen, mas se outro anime de outra categoria for bom, aceito a oferta."
B,Bleach,Jujutsu kaisen,Death note,Charlotte ,Noragame,,,,,,,,Lutas fodas e poderes fodas
Yammi,Demon slayer,Code geass,Full metal,Claymore,Naruto,Dragon ball,Yo yo hakusho,Sakura card captor,Death note,Evangelio ,,,Não gosto de animes que sexualidade mulheres ao extremo.
Wizzer,Hellsing,Digimon,Toradora,One Piece,Kabaneri,Dragon Ball,Fly,Bucky,Hataraku Maou-Sama,Yu Yu Hakusho,jojo,toda a franquia Fate,"Porradaria,odeio muita fala e pouca luta"
