Nickname,1º Lugar,2º Lugar,3º Lugar,4º Lugar,5º Lugar,6º Lugar,7º Lugar,8º Lugar,9º Lugar,10º Lugar,Anime ruim,Anime péssimo,Preferencias
REBIRTH,Cavaleiros do zodíaco,Naruto,Dragon Ball Z,Nanatsu no taizai,One piece,,,,,,Naruto,Nanatsu no taizai,"Gosto de animes com um roteiro criativo, onde a trama vá além de lutas sem sentido"
Leonardo baio,Monster,Tokyo ghoul,Attack on titan ,steins gate,Bakemonogatari ,Desth note,Nanatsu no taizai,Naruto,higurashi no naku koro ni,Os Cavaleiro do zodiaco,Dragon ball super,Naruto,"Gosto do protagonista dar à volta por cima,é voltar forte+"
Miuco 321,Jujutsu Kaisen,Naruto ,Dragon Ball Z,One Piece,Akame ga kill,Samurai X,Attack on Titan,Yu yu hakusho,Bleach,Tate no yuusha,Jojo bizzare adventure,Cavaleiros do zodíaco saga de hades parte eliseos,Não gosto de excesso de bondade por parte dos protagonistas 
Andy,Attack on titan,Death Note,Fullmetal Archemist brotherhood,One Piece,Myhero academia,Steins;Gate, Cowboy Bebop, Hunter x Hunter, Demon Slayer, Neon Genesis Evangelion,Naruto,Pupa,"Histórias que deixam uma clima de suspense reviravoltas,lutas,torneios, e acho desnecessário animes muito sexualizando, certos temas tem q ser dentro de uma normalidade."
Gama43,Love Live! School Idol Project 2nd Season,Uma Musume: Pretty Derby Season 2,BanG Dream! It's MyGO!!!!!,Shoujo☆Kageki Revue Starlight Movie,Bocchi the Rock!,Gochuumon wa Usagi desu ka??,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,Haikyuu!! Second Season,Love Live! Superstar!!,Love Live! Nijigasaki Gakuen School Idol Doukoukai,Mahou Shoujo Tokushusen Asuka,Mahou Shoujo Site ,"Gosto de garotas fofas sendo felizes, personagens que pareçam humanos, músicas, slice of life, robôs gigantes. Não gosto de violência gratuita quando não acrescenta nada na história e personagens superficiais"
