Nickname,1º Lugar,2º Lugar,3º Lugar,4º Lugar,5º Lugar,6º Lugar,7º Lugar,8º Lugar,9º Lugar,10º Lugar,Anime ruim,Anime péssimo,Preferencias
Stalki,FullMetal Alchemist: Brotherhood,Mob Psycho 100,Vinland Saga,Hunter x Hunter ,Golden Kamuy,Tengoku Daimakyou,Rainbow: Nisha Rokubou no Shichinin ,Ginga Eiyuu Densetsu,Ousama Ranking ,K-on!,Higurashi no Naku Kuro Ni. Kanojo Okarashimasu.,Arifureta Shokugyou de Sekai Saikyou,"Gosto de animes que conseguem me prender assistindo, seja tendo uma história, personagens ou comédia boa. Não gosto de animes de fantasia mal produzidos de temporada e animes que tentam tratar um tema mais sério sem saber fazer isso "
Guilherme,Saki: Zenkoku-hen,One Punch Man,Oregairu,School Rumble,World Trigger 3rd Season,Zettai Karen Children,Saiki Kusuo no Ψ-nan,Kidou Senshi Gundam 00,Noucome,Medaka Box Abnormal,Ousama Game The Animation, Liar Liar,"Gosto de qualquer anime com arco de campeonato ou muito engraçado, não gosto de anime muito lento ou com protagonista ruim."
The Vierte Jhin,ChainsawMan (especificamente o manga),CodeGeas,parasyte,haikyuu,SNK,bleach,Sword Art Online,yuyu hakusho,Kaguya-sama: Love Is War,deathnote,boku no hero,terra formars,"gosto de emoção e suspense e filosofia normalmente é oq me costuma me prender , n sou mto fã de ecchi e eluta"
Tekos,Star Twinkle Precure,Senki Zesshou Symphogear,Hajime no Ippo,Ginga Eiyuu Densetsu,Idol Densetsu Eriko,Yu-Gi-Oh! 5Ds,Love Live Sunshine,Aikatsu,Kira Kira Precure a La Mode,Yu-Gi-Oh! Zexal,Angel Beats,Ousama Game,"Gosto de rivalidade, superação e tragédia
Não gosto de triangulo amoroso, harém, animes que retratem a vida no campo."
Kyrch,Yagate Kimi ni Naru,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,Kage no Jitsuryokusha ni Naritakute!,Love Live! Sunshine!!,Fruits Basket (2019),Monster,Mahou Shoujo Madoka Magica,Hibike! Euphonium,K-On!,Mushoku Tensei,Blue Reflection Ray,Yasuke,"Eu gosto de OSTs incríveis que assimilam bem com a cena e protagonistas fortes ou inteligentes (pode ser um slice of life). Não suporto enrolação de anime de ação, mas tanto faz em relação a romance."
