A Place Further than the Universe (Sora yori mo Tooi Basho)
Akira
Anohana: The Flower We Saw That Day (Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai)
Another
Attack on Titan (Shingeki no Kyojin)
Baccano!
Banana Fish
Barakamon
Beastars
Beelzebub
Berserk
Big Order
Black Bullet
Black Butler (Kuroshitsuji)
Black Clover
Black Lagoon
Bunny Drop (Usagi Drop)
Cells at Work! (Hataraku Saibou)
Clannad: After Story
Code Geass: Lelouch of the Rebellion
Cowboy Bebop
Darker than Black
Death Note
Demon Slayer (Kimetsu no Yaiba)
Devilman: Crybaby
Diabolik Lovers
Dorohedoro
Dororo
Dr. Stone
Dragon Ball Z
Durarara!!
Erased (Boku dake ga Inai Machi)
Ergo Proxy
Fate/Zero
Fullmetal Alchemist: Brotherhood
Gankutsuou: The Count of Monte Cristo
Ghost in the Shell
Gintama
Golden Kamuy
Great Teacher Onizuka (GTO)
Gurren Lagann (Tengen Toppa Gurren Lagann)
Haikyuu!!
Hellsing
Hunter x Hunter
Initial D
JoJo's Bizarre Adventure
JoJo's Bizarre Adventure: Diamond is Unbreakable
JoJo's Bizarre Adventure: Golden Wind
JoJo's Bizarre Adventure: Stone Ocean
K-On!
Kids on the Slope (Sakamichi no Apollon)
Kino's Journey (Kino no Tabi)
Kiss X sis
KonoSuba: God's Blessing on This Wonderful World! (Kono Subarashii Sekai ni Shukufuku wo!)
Land of the Lustrous (Houseki no Kuni)
Legend of the Galactic Heroes (Ginga Eiyuu Densetsu)
Made in Abyss
March Comes in Like a Lion (3-gatsu no Lion)
Mars of Destruction
Master of Martial Hearts (Zettai Shougeki: Platonic Heart)
Mawaru Penguindrum
Mirai Nikki
Mob Psycho 100
Monster
Mushishi
My Hero Academia (Boku no Hero Academia)
My Neighbor Totoro (Tonari no Totoro)
Nana
Naruto: Shippuden
Neon Genesis Evangelion
Netsuzou TRap
No Game No Life
Noragami
Odd Taxi
One Outs
One Piece
One Punch Man
Paranoia Agent (Mousou Dairinin)
Parasyte -the maxim- (Kiseijuu: Sei no Kakuritsu)
Pluto 
Princess Mononoke (Mononoke Hime)
Princess Principal
Prison School (Kangoku Gakuen)
Promare
Psycho-Pass
Pupa
Re:Zero - Starting Life in Another World (Re:Zero kara Hajimeru Isekai Seikatsu)
Record of Ragnarok
Rurouni Kenshin (Samurai X)
School Days
Serial Experiments Lain
Shiki
Sk8 the Infinity 
Skelter Heaven
Skelter+Heaven
Space Dandy
Spice and Wolf (Ookami to Koushinryou)
Spirited Away (Sen to Chihiro no Kamikakushi)
Steins;Gate
Sword Art Online
Tengen Toppa Gurren Lagann
Terror in Resonance (Zankyou no Terror)
The Ancient Magus' Bride (Mahoutsukai no Yome)
The Case Study of Vanitas (Vanitas no Carte)
The Devil Is a Part-Timer! (Hataraku Maou-sama!)
The Disastrous Life of Saiki K. (Saiki Kusuo no Psi-nan)
The Melancholy of Haruhi Suzumiya (Suzumiya Haruhi no Yuuutsu)
The Promised Neverland (Yakusoku no Neverland)
The Rising of the Shield Hero (Tate no Yuusha no Nariagari)
To Your Eternity (Fumetsu no Anata e)
Tokyo Ghoul
Tokyo Revengers
Toradora!
Trigun
Valkyria Revolution
Vinland Saga
Violet Evergarden
Wotakoi: Love is Hard for Otaku (Itazura na Kiss)
Your Lie in April (Shigatsu wa Kimi no Uso)
Yuri!!! on Ice 
Your Name (Kimi no Na wa)
Yuru Camp (Laid-Back Camp)
Yakitate!! Japan
Yozakura Quartet
Yu Yu Hakusho
