Nickname,1º Lugar,2º Lugar,3º Lugar,4º Lugar,5º Lugar,6º Lugar,7º Lugar,8º Lugar,9º Lugar,10º Lugar,Anime ruim,Anime péssimo,Preferencias
cardinal,Love Live! Sunshine!!,Love Live! School Idol Project,Shoujo Kageki Revue Starlight Movie,Hibike! Euphonium,Oshi no Ko,K-ON!!,Mushoku Tensei: Isekai Ittara Honki Dasu,,Re:zero,Bocchi the Rock!,"Kanojo, Okarishimasu",Osananajimi ga Zettai ni Makenai Love Come,"Gosto de romance com boa construção, desenvolvimento de mundo, slice of life, musica e nao suporto qualquer insinuação a pedofilia, ecchi ou hentai exagerado e gore."
Helena,Cowboy Bebop,Naruto,Evangelion,Kakegurui,Death Note,Sailor Moon,Devilman Crybaby,The Promised Neverland,Fullmetal Alchemist,Beastars,Diabolic Lovers,Konosuba,"Gosto de animes com história que prende (Ex: Evangelion, Naruto), ou com a estética das animações dos anos 90 (Ex: cowboy bebop, sailor Moon). Não gosto de animes com temas bizarros no geral, como pedofilia, assédio ou estupro."
César,Love Live! School idol project,Shoujo Kageki Revue Starlight,Bleach: Sennen Kessen-hen,Bocchi the Rock!,Detective Conan,BanG Dream! 3rd Season,Kage no Jitsuryokusha ni Naritakute!,Date A Live IV,K-On!!,Senki Zesshou Symphogear XV,Fate/stay night: Unlimited Blade Works,Tengen Toppa Gurren Lagann,"Coisas que gosto:
1- Animes com mais foco em música
2- Plot-twists muito bons
3- Drama bem trabalhados e que encaixem com o momento que foi inserido
4- Cenas de luta que me deixam hypado
5- Romance fofo também me agrada

Coisas que não suporto:
1- Ecchi muito exagerado
2- Age gap muito absurdo
3- Insinuação a pedofilia tbm é paia dms"
Capa,Kakegurui,Kaguya-sama: Love Is War,Talentless Nana,Love Tyrant,Mirai Nikki,Nichijou,Asobi Asobase,Classroom of the Elite,High-Rise Invasion,Higurashi no Naku Koro ni,King's Game,Redo of Healer,"História boa e reviravoltas inesperadas, se tiver personagens LGBT ajuda também. Não gosto quando a história não é muito desenvolvida e muito previsível."
Farmizin,Beelzebub,Love Live! Superstar!! ,Kara no Kyoukai,Fullmetal alchemist Brotherhood,Odd Taxi,Princesa Mononoke,Re:ZERO,Persona:4 The Animation,Fate Unlimited Blade Works,Bocchi The Rock,Smile Pretty Cure!,Kaifuku,Gosto de anime que me fazem refletir sobre coisas simples que eu nunca tinha parado pra analisar.não gosto de animes que problemas impossíveis de se resolver sejam resolvido de uma maneira totalmente preguiçosa e sem sentido
