Nickname,1º Lugar,2º Lugar,3º Lugar,4º Lugar,5º Lugar,6º Lugar,7º Lugar,8º Lugar,9º Lugar,10º Lugar,Anime ruim,Anime péssimo,Preferencias
Mariana lee,Pokemon,The promissed neverland,Your name,Tokio revengers,Erased,Sk8 infinity,Yuri on ice,Death note,Kakegurui,Demon slayer,Attack on titan,The seven deadly sins ,"Gosto de animes que me fazem pensar ou mostre raciocínio logico de personagens (loucos) e lutas que você n sabe quem vai ganhar 
Nao gosto dos animes que sexualizam mulheres, pedofilia, fetiches estranhos… e animes de aventura que é muito repetitivo na jornada do heroi, como the seven deadly sins que sempre tem um desafio eles superam e aparece um pior e mais forte, eles superam e vai vai assim "
jez,Naruto,Jujutsu kaisen,Hunter x Hunter,Dragon Ball,Nanatsu no taizai,Attack on Titan,heroi do escudo,kenja no mago,menina da defesa,goblin slayer,goblin slayer,One Piece,gosto de isekai prota apelao
Hlove,Sailor moon,Sakura card captors,death note,Jujutsu kaisen,Puella magic,,,,,,,,"Eu gosto de ação, aventura, magia e muita adrenalina...
Oque não gosto ainda não encontrei rs"
Nicolas,Hunter x Hunter,Naruto,Perfect Blue,Paprika,Naruto,Jujutsu Kaisen,Avatar,Castlevania,Chainsaw Man,Asobi Asobase,Bleach,One Piece,"Gosto de lutas, magias, histórias cativantes, rotatividade de personagens. Não gosto falta de dinâmica, arcos extensos demais, muitos episódios."
SkirlDzi,tate no yusha ,Sword art online,Kaifuku Jutsushi no Yarinaoshi,konosuba,Tensei shitara Slime Datta Ken,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu,Arifureta Shokugyou de Sekai Saikyou,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Kenja no Mago,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",,Shingeki no Kyojin,choradeira como Shingeki no Kyojin
