Nickname,1º Lugar,2º Lugar,3º Lugar,4º Lugar,5º Lugar,6º Lugar,7º Lugar,8º Lugar,9º Lugar,10º Lugar,Anime ruim,Anime péssimo,Preferencias
Pedro pereira,Your  name,One piece,Oregairu,Full metal alchrsmit brotherhood,Perfect blue,Code geass,Hunter x hunter,Your lie in april,Bunny girl ,Erased,,,Romance
Kishida,Jujutsu Kaisen,Fullmetal Alchemist Brotherhood,Attack on Titan,Neon Genesis Evangelion,Mob Psycho 100,Chainsaw Man,Megalobox,Death Note,Cyberpunk: Edgerunners,Naruto,Darling in the Franxx,Konosuba,"Bons personagens, relações emocionais com profundidade entre os personagens. Nao gosto de ecchi, taradisse e/ou quando tem lutas de 15 episodios e/ou personagens mal escritos"
Callme.rafa_,Fullmetal alchemist brotherhood,Jujutsu kaisen,Demon slayer,Boku no hero academy,One punch man,,,,,,,Fairy Tail,"Acho que de tudo um pouco, mas gosto dos que tem um pouco de humor. Não suporto sexualização de personagens femininas, por exemplo ficar colocando peitão, e roupas sexys nas personagens."
D,One Piece,Death note,Fullmetal alchemist brotherhood,Steins gate,Berzerker,Tengen toppa gurren lagann,Grand blue,Danshi kokousei no nichijou,Boku no hero academia ,Parasyte,,,"Boa animação, trama, plot twist e pacing adequado"
