Nickname,1º Lugar,2º Lugar,3º Lugar,4º Lugar,5º Lugar,6º Lugar,7º Lugar,8º Lugar,9º Lugar,10º Lugar,Anime ruim,Anime péssimo,Preferencias
Gauto,Chainsaw man,One piece,Jujutsu kaisen,Jojo,Mob psycho,Death note,One punch man,Dragon ball,Naruto,Attack on titan,Nenhum,Goblin slayer,Gosto de lutas e comédia. Não suporto fan service
HYao,Fullmetal Alchemist Brotherhood,Demon Slayer,Jujutsu Kaisen ,Shingeki no Kyojin ,Vinland Saga,Death Note,Boku no Hero Academia ,Tate no Yuusha,Goblin Slayer ,Dr. Stone,Tonari no Kaibutsu-kun,Platinum End,"Gosto de personagens carismáticos. Não gosto de muita explicação, principalmente em shounen"
Vavá Santos,Bleach,Dragon Ball ,Jujutsu Kaisen ,Boku no Hero,Elfen Lied,Katekyo Hitman Reborn,Jojo Kimyou na Bouken,Evangelion,Kuroko no Basket,Saint Seiya,Sword Art Online ,Saint Seiya Omega ,Superação e resiliência
Near,Dargon ball,Xaruto,One punch man ,Bleach,Attack On Titan ,Death note ,Nanatsu no taizai,Cavaleiros do zodíaco ,Inazuma eleven ,,,One piece ,Gosto de coisas inesperadas como furos de roteiro e.... não suporto muito diálogo 
Sabão,Kemono no Souja Erin,ARIA The ORIGINATION,Tetsujin 28-go (2004),Mobile Fighter G Gundam,Akage no Anne,Neon Genesis Evangelion,Juuni Kokuki,Uma Musume: Pretty Derby,Shoujo☆Kageki Revue Starlight,PERFECT BLUE,Darling in the Franxx,Tokyo Ghoul:re ,"historias emocionantes e personagens cativantes. 
animes que enrolam para avançar a historia ou que tenham um ritmo muito lento."
