Nickname,1º Lugar,2º Lugar,3º Lugar,4º Lugar,5º Lugar,6º Lugar,7º Lugar,8º Lugar,9º Lugar,10º Lugar,Anime ruim,Anime péssimo,Preferencias
Mariazinha,Kimi ni Todoke,Toradora,Love Complex,Watashi ga Motete Dousunda,Bokura Ga Ita,Horimiya,Yuri!!! On Ice,Kaguya-Sama,Good Morning Call,Spy Family,Mirai Nikki,Naruto,Amo animes de comédia romântica. Gosto de ver casais apaixonados. Me frustra se não existe romance ou o casal não fica junto no final. Odeio animes de lutas ou de terror. Não gosto quando as mulheres são altamente objetificadas e sexualizadas.
Mpr2179,Fullmetal alchemist brotherhood ,Boku Dake ga Inai Machi,Kekkai Sensen,Castlevania,Jujutsu Kaisen,Tokyo Revengers ,Akudama Drive,Tate no Yūsha no Nariagari,Yu-Gi-Oh,Sekko Boys,Tokyo ghoul ,Shinmai Maou no Testament,"Gosto de lutas bem feitas, histórias emocionantes, boa construção de personagem e enredo sem enrolação. Não gosto de personagens forçados e roteiro preguiçoso."
Bola de fogo,Yu Yu Hakusho,Bleach,Durararara,Jojo part 5,Sono Bisque doll,Nagatoro,Spy Family,Summertime Render,Katekyou Hitman Reborn!,One Punch-Man,nenhum se eu não gosto de 3 episódios ja quito,Re zero. Pois o cara so morre,"gosto de boa luta em anime e historia que não só falada mas tenha enredo que não seja ruim, que não  curto animação ruim e falta de boa Musica de luta ou para trazer emoção que falta em animes, mesmo pior dos animes tem ter boa animação e musica boa"
Yuri,Jojo's Bizarre Adventure,Neon Genesis Evangelion,Devilman Crybaby,Mahou Shoujo Madoka Magica,Hunter x Hunter,Boku Dake Ga Inai Machi (Erased),Fullmetal Alchemist: Brotherhood,Steins;Gate,Cyberpunk Edgerunners,,Mahou Shoujo Ikusei Keikaku,Black Clover,"Gosto quando uma obra explora diferentes aspectos da perversidade humana de maneira acinzentada, sem forçar os tropos do ""mocinho 100% consciente"", ou do ""vilão 100% malvado"", trazendo personagens moralmente complexos e cheio de defeitos morais. Não gosto de animes que sexualizam gratuitamente ou que glorificam personagens pervertidos e personagens com ideias perigosas."
YuutaDeBrinks,Naruto,Naruto Shippuden,Death Note,Food Wars! Shokugeki no Soma,Fullmetal Alchemist: Brotherhood,Blue Exorcist,Jujutsu Kaisen,Demon Slayer: Kimetsu no Yaiba,Pokémon,Sakuraso no Pet na Kanojo,Kill la Kill,Todos os pokémons a partir do Black and White,"O melhor é ver o seu personagem favorito superar todos os seus desafios e problemas com sua força de vontade de formas absurdas e superar ou enfrentar qualquer dificuldade em sua jornada triunfante.
Não gosto de animes previsíveis ao ponto de você saber exatamente o que vai acontecer durante a história."
